node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808879,191.111333,0.0,0.0
1,7,99999.808898,191.101821,0.096917,0.0
1,16,99999.856659,143.3335,0.0,0.0
2,4,99999.808879,191.120844,0.219226,0.0
2,7,99999.808879,191.111333,0.658154,0.0
2,12,99999.808898,191.101821,1.136422,0.0
2,13,99999.808898,191.101821,1.151323,0.0
2,18,24999.808898,191.101821,1.190662,0.0
2,23,24999.753136,246.852138,1.085043,0.0
3,10,99999.808879,191.111333,0.217438,0.0
3,11,24999.80886,191.130357,0.0,0.0
3,14,1549.808879,191.120844,0.901461,0.0
3,21,99999.808879,191.120844,1.234651,0.0
4,16,99999.697392,302.608003,1.059175,0.0
5,8,24999.808879,191.111333,0.0,0.0
5,16,24999.808879,191.111333,1.162529,0.0
6,7,1549.808879,191.111333,0.0,0.0
6,19,1549.808879,191.025816,1.354456,0.0
7,17,99999.808879,191.120844,0.273347,0.0
7,19,24999.808879,191.025816,2.072573,0.0
7,21,99999.808879,191.111333,1.213193,0.0
8,9,24999.856545,143.397752,0.484228,0.0
9,15,24999.856545,143.397752,0.0,0.0
9,16,99999.808727,191.197003,0.46432,0.0
10,11,24999.80886,191.130357,0.0,0.0
10,12,99999.808898,191.101821,1.288295,0.0
10,16,99999.753136,246.852138,1.664281,0.0
10,17,99999.808879,191.120844,4.567623,0.0
12,22,99999.808898,191.101821,1.16992,0.0
13,14,1549.808879,191.111333,1.666784,0.0
13,17,99999.808879,191.111333,1.122713,0.0
13,19,24999.808898,191.025799,1.401901,0.0
15,20,24999.753136,246.852138,0.422716,0.0
17,20,99999.808879,191.111333,0.510931,0.0
17,23,24999.808879,191.111333,0.515699,0.0
18,21,24999.808879,191.120844,1.770377,0.0
20,22,24999.808898,191.101821,2.343297,0.0
