node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808402,191.588086,0.986576,0.0
1,7,99999.808421,191.56897,2.351522,0.0
1,16,99999.808421,191.511669,2.17092,0.0
2,4,99999.85633,143.633743,0.0,0.0
2,7,99999.856345,143.626577,0.008464,0.0
2,12,99999.808517,191.473448,0.0,0.0
2,13,99999.808441,191.511657,2.980828,0.0
2,18,24999.808536,191.463901,3.188252,0.0
2,23,24999.80846,191.502102,0.0,0.0
3,10,99999.808402,191.588086,0.0,0.0
3,11,24999.808402,191.530773,0.796199,0.0
3,14,1549.808402,191.588086,0.603795,0.0
3,21,99999.808402,191.521227,0.0,0.0
4,16,99999.808441,191.502112,0.435114,0.0
5,8,24999.808421,191.540311,0.255466,0.0
5,16,24999.808498,191.473452,2.186775,0.0
6,7,1549.85633,143.619426,0.506043,0.0
6,19,1549.808574,191.425723,1.384854,0.0
7,17,99999.808441,191.521205,0.0,0.0
7,19,24999.808441,191.502112,0.501752,0.0
7,21,99999.808441,191.502112,0.190973,0.0
8,9,24999.808421,191.511669,0.303626,0.0
9,15,24999.808421,191.511669,0.501633,0.0
9,16,99999.808555,191.44481,0.919342,0.0
10,11,24999.808402,191.530773,2.995729,0.0
10,12,99999.808421,191.530762,1.866341,0.0
10,16,99999.808421,191.511669,2.82836,0.0
10,17,99999.808421,191.530762,0.0,0.0
12,22,99999.808517,191.482996,2.388239,0.0
13,14,1549.808421,191.56897,2.66695,0.0
13,17,99999.808441,191.511657,0.0,0.0
13,19,24999.808441,191.492568,1.19257,0.0
15,20,24999.808421,191.549862,0.075102,0.0
17,20,99999.808479,191.502096,0.0,0.0
17,23,24999.80846,191.502102,0.0,0.0
18,21,24999.808536,191.444812,0.0,0.0
20,22,24999.808479,191.502096,0.566721,0.0
