node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808383,191.607206,0.990868,0.0
1,7,99999.808383,191.568982,0.969052,0.0
1,16,99999.808383,191.549881,0.877023,0.0
2,4,99999.808479,191.521197,0.337601,0.0
2,7,99999.808479,191.521197,1.322746,0.0
2,12,99999.808498,191.502095,3.241062,0.0
2,13,99999.80846,191.521199,0.0,0.0
2,18,24999.808479,191.511646,3.815174,0.0
2,23,24999.80846,191.521199,0.0,0.0
3,10,99999.808383,191.607206,2.027035,0.0
3,11,24999.808383,191.549881,1.415491,0.0
3,14,1549.808402,191.588086,0.0,0.0
3,21,99999.808383,191.549881,3.456473,0.0
4,16,99999.808479,191.511646,1.330018,0.0
5,8,24999.808421,191.549862,1.730204,0.0
5,16,24999.808479,191.502096,2.575874,0.0
6,7,1549.80846,191.302045,1.42777,0.0
6,19,1549.808517,191.263886,0.757813,0.0
7,17,99999.80846,191.521199,5.41234,0.0
7,19,24999.80846,191.51165,1.259565,0.0
7,21,99999.80846,191.521199,4.293084,0.0
8,9,24999.808441,191.330617,0.391364,0.0
9,15,24999.808479,191.302,0.0,0.0
9,16,99999.808517,191.292409,0.278354,0.0
10,11,24999.808421,191.530762,2.573252,0.0
10,12,99999.808421,191.549862,2.959371,0.0
10,16,99999.808402,191.54032,2.767682,0.0
10,17,99999.808402,191.559421,4.203796,0.0
12,22,99999.808479,191.521197,1.867414,0.0
13,14,1549.856316,143.669561,0.0,0.0
13,17,99999.80846,191.521199,0.0,0.0
13,19,24999.808479,191.502096,0.0,0.0
15,20,24999.856345,143.648063,0.0,0.0
17,20,99999.808479,191.511646,0.0,0.0
17,23,24999.856359,143.633734,0.0,0.0
18,21,24999.856359,143.626572,2.994061,0.0
20,22,24999.808479,191.521197,0.0,0.0
