node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.807769,192.230677,2.752185,0.0
1,7,99999.807673,192.269194,2.981782,0.0
1,16,99999.807615,192.298101,2.082586,0.0
2,4,99999.807654,192.33659,3.557205,0.0
2,7,99999.807654,192.33659,2.930284,0.0
2,12,99999.807654,192.346223,2.56443,0.0
2,13,99999.807654,192.33659,2.067804,0.0
2,18,24999.807654,192.346223,2.209783,0.0
2,23,24999.807654,192.33659,1.717091,0.0
3,10,99999.80775,192.240301,3.564954,0.0
3,11,24999.807635,192.298086,3.040314,0.0
3,14,1549.807731,192.249927,2.528906,0.0
3,21,99999.807615,192.307723,2.171993,0.0
4,16,99999.807615,192.355863,2.997994,0.0
5,8,24999.807673,192.307694,3.322124,0.0
5,16,24999.807615,192.355863,2.391577,0.0
6,7,1549.807229,192.539388,2.295971,0.0
6,19,1549.80721,192.606886,3.329039,0.0
7,17,99999.807654,192.326958,1.214266,0.0
7,19,24999.807577,192.375144,1.444578,0.0
7,21,99999.807615,192.355863,1.67048,0.0
8,9,24999.807268,192.510408,7.082939,0.0
9,15,24999.807248,192.539344,2.230525,0.0
9,16,99999.807248,192.568251,3.160238,0.0
10,11,24999.807635,192.317336,1.099825,0.0
10,12,99999.807673,192.28844,2.602339,0.0
10,16,99999.807615,192.317347,2.903104,0.0
10,17,99999.807654,192.298074,1.174331,0.0
12,22,99999.855755,144.245217,2.703309,0.0
13,14,1549.807692,192.288435,3.385067,0.0
13,17,99999.85574,144.245218,2.22826,0.0
13,19,24999.855683,144.281358,2.60818,0.0
15,20,24999.807673,192.326956,2.195358,0.0
17,20,99999.807654,192.33659,1.899242,0.0
17,23,24999.807654,192.33659,1.846433,0.0
18,21,24999.807615,192.355863,2.042532,0.0
20,22,24999.807673,192.326956,3.572702,0.0
