node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808173,191.827355,0.460148,0.0
1,7,99999.808096,191.865702,30.902624,0.0
1,16,99999.807923,191.952093,0.0,0.0
2,4,99999.807942,192.048012,1.857162,0.0
2,7,99999.807942,191.980833,2.906561,0.0
2,12,99999.807923,192.067224,2.743721,0.0
2,13,99999.807942,191.961656,30.133247,0.0
2,18,24999.807942,192.057617,1.985788,0.0
2,23,24999.807942,192.048012,29.83439,0.0
3,10,99999.808153,191.836939,0.940919,0.0
3,11,24999.807942,191.942486,0.464559,0.0
3,14,1549.808153,191.836939,29.673219,0.0
3,21,99999.807923,191.952093,0.681639,0.0
4,16,99999.807923,192.057619,0.988722,0.0
5,8,24999.807942,191.95207,1.268148,0.0
5,16,24999.807942,192.057617,0.202775,0.0
6,7,1549.808096,191.85612,1.0463,0.0
6,19,1549.80775,192.03864,33.177495,0.0
7,17,99999.807942,191.971243,1.871705,0.0
7,19,24999.80775,192.067397,24.028897,0.0
7,21,99999.807923,191.990439,2.372384,0.0
8,9,24999.759928,239.95207,10.003924,0.0
9,15,24999.807942,191.961656,0.613809,0.0
9,16,99999.807942,192.057617,0.0,0.0
10,11,24999.807942,191.942486,0.983,0.0
10,12,99999.807942,191.95207,0.315666,0.0
10,16,99999.807942,191.95207,15.959024,0.0
10,17,99999.807942,191.95207,0.69356,0.0
12,22,99999.807942,192.057617,6.811142,0.0
13,14,1549.808115,191.865696,29.016256,0.0
13,17,99999.807942,191.961656,5.815625,0.0
13,19,24999.80775,192.057809,31.973362,0.0
15,20,24999.807962,191.952051,23.308277,0.0
17,20,99999.807942,192.057617,5.723953,0.0
17,23,24999.807942,192.057617,5.353093,0.0
18,21,24999.807923,192.057619,6.152511,0.0
20,22,24999.807942,192.048012,6.379604,0.0
