node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.807808,192.134511,1.40214,0.0
1,7,99999.807789,192.15374,2.753973,0.0
1,16,99999.807808,192.153731,0.538826,0.0
2,4,99999.807866,192.115271,2.791882,0.0
2,7,99999.807866,192.105662,2.387166,0.0
2,12,99999.807866,192.124882,1.62077,0.0
2,13,99999.807866,192.096056,1.361609,0.0
2,18,24999.807866,192.124882,0.644803,0.0
2,23,24999.807866,192.105662,2.308965,0.0
3,10,99999.807923,192.076831,3.515959,0.0
3,11,24999.807808,192.163343,0.739574,0.0
3,14,1549.807923,192.076831,2.242804,0.0
3,21,99999.807808,192.163343,0.109673,0.0
4,16,99999.807885,192.105659,1.713037,0.0
5,8,24999.807885,192.086443,3.31676,0.0
5,16,24999.807885,192.115269,1.625657,0.0
6,7,1549.807904,191.932962,2.279401,0.0
6,19,1549.855899,143.964139,1.392484,0.0
7,17,99999.807866,192.105662,0.512958,0.0
7,19,24999.807866,192.105662,1.331449,0.0
7,21,99999.807866,192.105662,0.0,0.0
8,9,24999.807923,191.913777,0.989914,0.0
9,15,24999.807942,191.904171,1.467943,0.0
9,16,99999.807885,191.932997,0.917673,0.0
10,11,24999.807866,192.096056,0.740886,0.0
10,12,99999.807866,192.105662,2.71821,0.0
10,16,99999.807866,192.105662,1.716733,0.0
10,17,99999.807885,192.09605,1.91462,0.0
12,22,99999.807885,192.115269,3.192425,0.0
13,14,1549.807923,192.076831,3.715277,0.0
13,17,99999.807866,192.096056,1.690626,0.0
13,19,24999.807866,192.096056,0.743747,0.0
15,20,24999.807904,192.076833,5.278945,0.0
17,20,99999.855914,144.079244,0.97537,0.0
17,23,24999.807866,192.115271,1.5558,0.0
18,21,24999.807866,192.134494,2.695322,0.0
20,22,24999.855914,144.086452,1.354456,0.0
