node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808153,191.846523,0.0,0.0
1,7,99999.808134,191.827363,0.0,0.0
1,16,99999.752173,247.801761,0.290513,0.0
2,4,99999.808192,191.798612,14.367223,0.0
2,7,99999.808192,191.808192,0.0,0.0
2,12,99999.808153,191.836939,0.0,0.0
2,13,99999.808173,191.817774,0.30005,0.0
2,18,24999.808173,191.827355,0.094533,0.0
2,23,24999.808173,191.808194,0.0,0.0
3,10,99999.856129,143.870517,0.0,0.0
3,11,24999.808153,191.836939,0.661135,0.0
3,14,1549.808153,191.836939,0.578165,0.0
3,21,99999.808153,191.836939,0.874519,0.0
4,16,99999.808192,191.798612,0.0,0.0
5,8,24999.856144,143.856144,1.394987,0.0
5,16,24999.808173,191.817774,0.0,0.0
6,7,1549.807789,192.000232,0.0,0.0
6,19,1549.807789,191.990654,0.0,0.0
7,17,99999.808173,191.817774,0.858426,0.0
7,19,24999.808211,191.779454,0.0,0.0
7,21,99999.808192,191.798612,0.909805,0.0
8,9,24999.807769,192.019434,0.0,0.0
9,15,24999.807769,192.019434,0.939727,0.0
9,16,99999.807769,192.029016,0.502825,0.0
10,11,24999.808173,191.827355,0.0,0.0
10,12,99999.808153,191.836939,0.0,0.0
10,16,99999.808173,191.827355,0.0,0.0
10,17,99999.808153,191.827357,0.0,0.0
12,22,99999.808173,191.827355,1.526833,0.0
13,14,1549.808173,191.817774,2.087712,0.0
13,17,99999.808173,191.827355,3.130555,0.0
13,19,24999.808173,191.798616,0.136375,0.0
15,20,24999.808192,191.798612,0.0,0.0
17,20,99999.808173,191.817774,0.0,0.0
17,23,24999.808173,191.808194,0.67699,0.0
18,21,24999.808173,191.827355,9.546518,0.0
20,22,24999.808173,191.817774,0.0,0.0
