node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.855378,144.607352,2.800822,0.0
1,7,99999.855393,144.607351,0.789046,0.0
1,16,99999.807171,192.819483,0.938773,0.0
2,4,99999.80719,192.800121,0.852227,0.0
2,7,99999.80719,192.809801,1.841307,0.0
2,12,99999.80719,192.800121,2.236009,0.0
2,13,99999.80719,192.809801,0.803471,0.0
2,18,24999.80719,192.809801,4.262328,0.0
2,23,24999.80719,192.809801,0.03171,0.0
3,10,99999.80719,192.800121,1.885056,0.0
3,11,24999.80721,192.790441,0.769258,0.0
3,14,1549.80721,192.790441,1.764894,0.0
3,21,99999.80721,192.790441,2.842307,0.0
4,16,99999.80719,192.800121,0.033855,0.0
5,8,24999.80719,192.800121,1.652241,0.0
5,16,24999.80719,192.809801,0.0,0.0
6,7,1549.80719,192.713087,1.861572,0.0
6,19,1549.807171,192.722769,2.478719,0.0
7,17,99999.750979,249.020986,4.157543,0.0
7,19,24999.80719,192.800121,2.906919,0.0
7,21,99999.80719,192.800121,3.806233,0.0
8,9,24999.80721,192.722734,2.530932,0.0
9,15,24999.80721,192.722734,2.109289,0.0
9,16,99999.80719,192.732414,1.727819,0.0
10,11,24999.80721,192.790441,3.342867,0.0
10,12,99999.80719,192.800121,2.083778,0.0
10,16,99999.80719,192.809801,1.778841,0.0
10,17,99999.80721,192.790441,3.086686,0.0
12,22,99999.80719,192.809801,1.434445,0.0
13,14,1549.80719,192.800121,1.720428,0.0
13,17,99999.80719,192.809801,3.1178,0.0
13,19,24999.80719,192.809801,2.688646,0.0
15,20,24999.80719,192.800121,2.154231,0.0
17,20,99999.80719,192.800121,3.112435,0.0
17,23,24999.80719,192.809801,3.834605,0.0
18,21,24999.80719,192.809801,1.959324,0.0
20,22,24999.80719,192.809801,1.415372,0.0
